date, pm25, pm10, o3, no2, so2, co
2023/5/5, 42, , , 9, , 1
2023/5/6, 32, , , 5, , 1
2023/5/7, 29, , , 5, , 1
2023/5/8, 25, , , 10, , 1
2023/5/9, 27, , , 7, , 2
2023/5/10, 34, , , 8, 1, 2
2023/5/11, 37, , , 11, 1, 2
2023/5/12, 32, , , 8, 1, 2
2023/5/13, 23, , , 10, , 2
2023/5/14, 42, , , 4, , 1
2023/5/15, 38, , , 9, , 2
2023/5/16, 91, , , 10, 1, 11
2023/5/17, 176, , , 9, 1, 9
2023/5/18, 193, , , 13, 1, 4
2023/5/19, 99, , , 11, 1, 2
2023/5/20, 83, , , 12, 1, 8
2023/5/21, 171, , , 7, 1, 4
2023/5/22, 97, , , 5, , 5
2023/5/23, 98, , , 7, , 1
2023/5/24, 8, , , 5, 1, 3
2023/5/25, 25, , , 5, , 3
2023/5/26, 62, , , 10, 1, 3
2023/5/27, 77, , , 11, , 3
2023/5/28, 56, , , 6, 1, 2
2023/5/29, 33, , , 7, , 2
2023/5/30, 31, , , 6, 1, 2
2023/5/31, 63, , , 6, , 2
2023/6/1, 70, , , 3, , 1
2023/6/2, 27, , , 6, 1, 2
2023/6/3, 42, , , 11, , 3
2023/6/4, 72, , , 6, , 2
2023/6/5, 56, , , 5, 1, 2
2023/6/6, 52, , , 3, , 1
2023/6/7, 49, , , 10, 1, 1
2023/6/8, 60, , , 13, 1, 1
2023/6/9, 54, , , 9, , 2
2023/6/10, 67, , , 7, , 2
2023/6/11, 49, , , 4, , 5
2023/6/12, 99, , , 5, , 1
2023/6/13, 60, , , 10, 1, 1
2023/6/14, 52, , , 3, , 4
2023/6/15, 24, , , 3, , 5
2023/6/16, 129, , , 5, , 3
2023/6/17, 82, , , 1, , 1
2023/6/18, 18, , , , , 1
2023/6/19, 11, , , , , 1
2023/6/20, 6, , , 4, , 1
2023/6/21, 13, , , 7, , 
2023/6/22, 22, , , 8, , 
2023/6/23, 18, , , 8, 1, 1
2023/6/24, 29, , , 7, 1, 1
2023/6/25, 21, , , 3, , 1
2023/6/26, 33, , , 8, 1, 1
2023/6/27, 32, , , 11, 2, 1
2023/6/28, 42, , , 10, 1, 2
2023/6/29, 49, , , 12, , 2
2023/6/30, 43, , , 10, , 1
2023/7/1, 46, , , 6, , 1
2023/1/3, 39, , , 33, 1, 8
2023/1/4, 57, , , 17, 1, 4
2023/1/5, 17, , , 33, , 7
2023/1/6, 46, , , 29, , 5
2023/1/7, 28, , , 38, , 7
2023/1/8, 54, , , 33, , 7
2023/1/9, 50, , , 35, 1, 6
2023/1/10, 41, , , 38, 1, 8
2023/1/11, 51, , , 35, , 6
2023/1/12, 61, , , 35, 1, 6
2023/1/13, 80, , , 42, 1, 10
2023/1/14, 56, , , 25, 1, 6
2023/1/15, 43, , , 19, , 6
2023/1/16, 81, , , 13, , 3
2023/1/17, 59, , , 31, 1, 8
2023/1/18, 44, , , 45, 1, 10
2023/1/19, 68, , , 18, , 3
2023/1/20, 22, , , 19, 1, 3
2023/1/21, 20, , , 22, 1, 4
2023/1/22, 22, , , 8, 1, 2
2023/1/23, 8, , , 19, , 4
2023/1/24, 18, , , 15, 1, 3
2023/1/25, 15, , , 19, 1, 3
2023/1/26, 15, , , 15, 1, 3
2023/1/27, 15, , , 7, , 3
2023/1/28, 8, , , 7, , 3
2023/1/29, 9, , , 12, 1, 3
2023/1/30, 16, , , 21, 1, 4
2023/1/31, 17, , , 36, 1, 7
2023/2/1, 46, , , 22, 1, 5
2023/2/2, 47, , , 22, 1, 6
2023/2/3, 43, , , 35, 1, 7
2023/2/4, 39, , , 17, , 4
2023/2/5, 13, , , 24, 1, 6
2023/2/6, 36, , , 20, 1, 5
2023/2/7, 19, , , 23, , 6
2023/2/8, 25, , , 13, , 4
2023/2/9, 21, , , 31, 1, 6
2023/2/10, 38, , , 20, 1, 6
2023/2/11, 24, , , 16, , 4
2023/2/12, 14, , , 16, 1, 5
2023/2/13, 12, , , 10, , 5
2023/2/14, 9, , , 13, , 5
2023/2/15, 21, , , 24, , 6
2023/2/16, 39, , , 24, , 7
2023/2/17, 33, , , 13, 1, 5
2023/2/18, 13, , , 14, 1, 5
2023/2/19, 13, , , 11, , 5
2023/2/20, 10, , , 4, , 5
2023/2/21, 35, , , 3, , 5
2023/2/22, 4, , , 7, 1, 5
2023/2/23, 16, , , 11, , 6
2023/2/24, 24, , , 22, , 7
2023/2/25, 52, , , 47, 1, 10
2023/2/26, 69, , , 36, 1, 10
2023/2/27, 53, , , 33, , 7
2023/2/28, 45, , , 27, , 4
2023/3/1, 73, , , 7, , 1
2023/3/2, 54, , , 11, 1, 2
2023/3/3, 5, , , 16, 1, 3
2023/3/4, 6, , , 13, 1, 3
2023/3/5, 24, , , 5, , 3
2023/3/6, 24, , , 13, , 3
2023/3/7, 33, , , 14, , 2
2023/3/8, 54, , , 11, , 1
2023/3/9, 35, , , 16, , 1
2023/3/10, 37, , , 22, , 2
2023/3/11, 59, , , 13, 1, 1
2023/3/12, 43, , , 17, , 1
2023/3/13, 66, , , 40, 1, 4
2023/3/14, 89, , , 12, , 1
2023/3/15, 33, , , 27, 2, 3
2023/3/16, 33, , , 18, 2, 2
2023/3/17, 19, , , 31, 1, 4
2023/3/18, 44, , , 26, 1, 4
2023/3/19, 53, , , 26, 1, 4
2023/3/20, 59, , , 34, 1, 4
2023/3/21, 72, , , 18, 1, 2
2023/3/22, 48, , , 37, 1, 3
2023/3/23, 62, , , 21, 1, 3
2023/3/24, 36, , , 14, 1, 3
2023/3/25, 56, , , 10, 1, 3
2023/3/26, 60, , , 7, 1, 2
2023/3/27, 22, , , 6, , 2
2023/3/28, 29, , , 14, 1, 3
2023/3/29, 31, , , 20, , 3
2023/3/30, 48, , , 12, , 3
2023/3/31, 48, , , 16, , 3
2023/4/1, 32, , , 10, , 3
2022/10/2, 47, , , 14, 1, 4
2022/10/3, 44, , , 14, 2, 3
2022/10/4, 48, , , 10, 3, 3
2022/10/5, 43, , , 12, 1, 4
2022/10/6, 57, , , 9, , 3
2022/10/7, 38, , , 16, 2, 3
2022/10/8, 51, , , 13, 1, 2
2022/10/9, 53, , , 11, 2, 2
2022/10/10, 52, , , 13, , 1
2022/10/11, 46, , , 12, 1, 1
2022/10/12, 16, , , 16, , 1
2022/10/13, 13, , , 21, 2, 3
2022/10/14, 34, , , 11, 1, 1
2022/10/15, 26, , , 9, 1, 1
2022/10/16, 44, , , 13, 1, 2
2022/10/17, 40, , , 23, 1, 3
2022/10/18, 54, , , 18, 1, 2
2022/10/19, 58, , , 25, 1, 4
2022/10/20, 68, , , 17, 1, 2
2022/10/21, 35, , , 11, , 1
2022/10/22, 23, , , 6, , 1
2022/10/23, 24, , , 6, , 1
2022/10/24, 29, , , 22, 1, 3
2022/10/25, 35, , , 16, , 2
2022/10/26, 24, , , 20, , 3
2022/10/27, 30, , , 10, , 2
2022/10/28, 15, , , 19, , 4
