date, pm25, pm10, o3, no2, so2, co
2020/6/14, 25, , , 6, , 4
2020/6/15, 14, , , 4, , 4
2020/6/16, 4, , , 3, 1, 5
2020/6/17, 6, , , 3, , 6
2020/6/18, 14, , , 3, , 6
2020/6/19, 20, , , 7, , 7
2020/6/20, 25, , , 8, 1, 7
2020/6/21, 33, , , 4, 1, 7
2020/6/22, 22, , , 8, 1, 8
2020/6/23, 23, , , 13, 1, 10
2020/6/24, 38, , , 4, , 9
2020/6/25, 21, , , 5, 1, 9
2020/6/26, 13, , , 8, 1, 10
2020/6/27, 27, , , 4, , 10
2020/6/28, 11, , , 1, , 10
2020/6/29, 10, , , 2, , 10
2020/6/30, 25, , , 5, , 11
2020/7/1, 26, , , 3, 1, 11
2020/1/2, 22, , , 17, 1, 5
2020/1/3, 15, , , 30, 1, 4
2020/1/4, 29, , , 15, 1, 1
2020/1/5, 15, , , 28, 1, 2
2020/1/6, 25, , , 22, 1, 
2020/1/7, 13, , , 23, 1, 
2020/1/8, 45, , , 15, , 
2020/1/9, 42, , , 12, 1, 
2020/1/10, 24, , , 43, 1, 7
2020/1/11, 60, , , 13, 1, 1
2020/1/12, 63, , , 5, , 
2020/1/13, 23, , , 12, , 
2020/1/14, 24, , , 23, , 1
2020/1/15, 43, , , 27, , 2
2020/1/16, 54, , , 11, , 1
2020/1/17, 32, , , 15, , 2
2020/1/18, 57, , , 27, 1, 4
2020/1/19, 74, , , 37, 1, 6
2020/1/20, 79, , , 55, 1, 10
2020/1/21, 49, , , 44, 1, 6
2020/1/22, 41, , , 27, 1, 3
2020/1/23, 21, , , 43, 1, 6
2020/1/24, 40, , , 28, 1, 3
2020/1/25, 19, , , 16, 2, 2
2020/1/26, 8, , , 27, , 3
2020/1/27, 35, , , 26, 1, 4
2020/1/28, 30, , , 40, 1, 6
2020/1/29, 42, , , 33, 1, 6
2020/1/30, 33, , , 27, 1, 3
2020/1/31, 30, , , 30, 1, 5
2020/2/1, 30, , , 6, 1, 3
2020/2/2, 6, , , 23, 1, 3
2020/2/3, 14, , , 20, , 3
2020/2/4, 21, , , 29, 1, 5
2020/2/5, 34, , , 15, 2, 3
2020/2/6, 16, , , 16, 1, 4
2020/2/7, 16, , , 20, , 4
2020/2/8, 20, , , 11, , 4
2020/2/9, 25, , , 13, , 4
2020/2/10, 15, , , 16, , 4
2020/2/11, 17, , , 31, , 4
2020/2/12, 14, , , 9, , 2
2020/2/13, 32, , , 24, , 4
2020/2/14, 48, , , 23, , 3
2020/2/15, 39, , , 13, , 2
2020/2/16, 29, , , 18, , 3
2020/2/17, 15, , , 17, , 2
2020/2/18, 38, , , 20, , 3
2020/2/19, 46, , , 36, , 6
2020/2/20, 52, , , 30, , 5
2020/2/21, 31, , , 28, , 4
2020/2/22, 26, , , 18, , 3
2020/2/23, 25, , , 19, , 4
2020/2/24, 39, , , 14, 1, 3
2020/2/25, 20, , , 35, 1, 6
2020/2/26, 62, , , 17, 1, 4
2020/2/27, 22, , , 18, , 3
2020/2/28, 11, , , 24, , 4
2020/2/29, 24, , , 6, , 3
2020/3/1, 10, , , 10, , 3
2020/3/2, 12, , , 9, , 3
2020/3/3, 12, , , 10, 1, 3
2020/3/4, 19, , , 9, 1, 2
2020/3/5, 9, , , 32, 1, 4
2020/3/6, 27, , , 22, 1, 4
2020/3/7, 43, , , 5, 1, 1
2020/3/8, 20, , , 13, 1, 2
2020/3/9, 42, , , 22, 1, 2
2020/3/10, 29, , , 26, 1, 3
2020/3/11, 28, , , 12, 1, 2
2020/3/12, 14, , , 11, 1, 2
2020/3/13, 15, , , 4, , 1
2020/3/14, 11, , , 4, 4, 1
2020/3/15, 20, , , 18, 1, 3
2020/3/16, 25, , , 25, 1, 4
2020/3/17, 40, , , 12, 1, 3
2020/3/18, 35, , , 11, , 2
2020/3/19, 55, , , 7, , 2
2020/3/20, 41, , , 20, 1, 3
2020/3/21, 62, , , 21, 1, 4
2020/3/22, 35, , , 15, 1, 3
2020/3/23, 26, , , 21, 1, 5
2020/3/24, 50, , , 5, , 3
2020/3/25, 20, , , 6, 1, 3
2020/3/26, 23, , , 15, , 3
2020/3/27, 24, , , 15, , 3
2020/3/28, 18, , , 11, , 3
2020/3/29, 26, , , , , 
2019/10/2, 40, , , 25, 1, 3
2019/10/3, 42, , , 21, , 3
2019/10/4, 49, , , 17, 2, 2
2019/10/5, 21, , , 14, , 1
2019/10/6, 9, , , 11, , 1
2019/10/7, 17, , , 18, 1, 2
2019/10/8, 26, , , 4, , 1
2019/10/9, 5, , , 5, 1, 1
2019/10/10, 9, , , 23, 1, 3
2019/10/11, 36, , , 24, , 3
2019/10/12, 42, , , 22, 1, 3
2019/10/13, 48, , , 13, 2, 3
2019/10/14, 40, , , 8, , 2
2019/10/15, 28, , , 16, , 3
2019/10/16, 33, , , 18, 1, 3
2019/10/17, 19, , , 21, 1, 4
2019/10/18, 26, , , 19, 2, 4
2019/10/19, 27, , , 15, 1, 3
2019/10/20, 14, , , 13, , 3
2019/10/21, 16, , , 18, 1, 4
2019/10/22, 19, , , 16, 1, 3
2019/10/23, 24, , , 8, , 3
2019/10/24, 16, , , 17, 1, 4
2019/10/25, 21, , , 13, , 3
2019/10/26, 21, , , 2, , 3
2019/10/27, 8, , , 4, , 3
2019/10/28, 7, , , 3, , 3
2019/10/29, 2, , , 18, 1, 4
2019/10/30, 17, , , 24, 2, 4
2019/10/31, 27, , , 15, 1, 4
2019/11/1, 15, , , 18, 1, 4
2019/11/2, 21, , , 18, , 5
2019/11/3, 28, , , 4, , 4
2019/11/4, 14, , , 8, , 4
2019/11/5, 25, , , 7, , 2
2019/11/6, 12, , , 20, , 3
2019/11/7, 31, , , 35, 1, 6
2019/11/8, 46, , , 24, 1, 3
2019/11/9, 22, , , 6, , 1
2019/11/10, 24, , , 8, , 1
2019/11/11, 7, , , 30, , 4
2019/11/12, 28, , , 25, 1, 4
2019/11/13, 23, , , 22, 2, 4
2019/11/14, 21, , , 20, 1, 3
2019/11/15, 28, , , , , 
2019/12/9, 36, , , , , 
2019/12/15, 45, , , 30, 1, 4
2019/12/16, 26, , , 29, 1, 4
2019/12/17, 21, , , 29, 1, 4
2019/12/18, 20, , , 23, 1, 4
2019/12/19, 20, , , 37, 1, 7
2019/12/20, 47, , , 24, 1, 5
2019/12/21, 26, , , 22, 1, 5
2019/12/22, 51, , , 21, 1, 5
2019/12/23, 16, , , 20, , 6
2019/12/24, 40, , , 26, , 5
2019/12/25, 38, , , 31, , 6
2019/12/26, 28, , , 28, , 5
2019/12/27, 19, , , 13, , 4
2019/12/28, 6, , , 25, , 5
2019/12/29, 15, , , 25, , 6
2019/12/30, 21, , , , , 
2019/7/2, 21, , , 3, 1, 
2019/7/3, 13, , , 6, 1, 
2019/7/4, 18, , , 4, 1, 
2019/7/5, 14, , , 5, 1, 
2019/7/6, 23, , , 3, 1, 
2019/7/7, 28, , , 5, 1, 1
2019/7/8, 30, , , 2, 1, 
2019/7/9, 17, , , 5, , 1
2019/7/10, 31, , , 4, , 1
2019/7/11, 31, , , 5, , 1
2019/7/12, 34, , , 5, , 1
2019/7/13, 21, , , 5, , 1
2019/7/14, 30, , , 5, 1, 1
2019/7/15, 22, , , 6, , 1
2019/7/16, 25, , , 5, , 1
2019/7/17, 16, , , 9, , 2
2019/7/18, 15, , , 5, , 1
2019/7/19, 8, , , 5, 2, 1
2019/7/20, 6, , , 4, 1, 2
2019/7/21, 28, , , 5, , 1
2019/7/22, 25, , , 9, , 2
2019/7/23, 33, , , 8, 1, 2
2019/7/24, 35, , , 4, , 1
2019/7/25, 9, , , 3, 1, 1
2019/7/26, 13, , , 8, , 2
2019/7/27, 26, , , 8, , 2
2019/7/28, 32, , , 5, , 1
2019/7/29, 5, , , 5, 1, 2
2019/7/30, 19, , , 7, , 2
2019/7/31, 30, , , 7, 1, 2
2019/8/1, 38, , , 6, , 2
2019/8/2, 42, , , 9, , 2
2019/8/3, 35, , , 3, , 2
2019/8/4, 32, , , 6, , 2
2019/8/5, 23, , , 7, , 3
2019/8/6, 36, , , 3, , 2
2019/8/7, 18, , , 4, , 3
2019/8/8, 37, , , 5, , 2
2019/8/9, 32, , , 3, , 2
2019/8/10, 29, , , 1, , 3
2019/8/11, 18, , , 3, , 2
2019/8/12, 28, , , 3, , 1
2019/8/13, 14, , , 9, , 1
2019/8/14, 18, , , 10, 1, 2
2019/8/15, 23, , , 7, , 1
2019/8/16, 23, , , 5, , 1
2019/8/17, 10, , , 5, , 1
2019/8/18, 3, , , 4, , 1
2019/8/19, 9, , , 4, , 1
2019/8/20, 18, , , 7, , 1
2019/8/21, 32, , , 9, , 1
2019/8/22, 38, , , 7, , 1
2019/8/23, 23, , , 8, , 2
2019/8/24, 25, , , 6, , 1
2019/8/25, 16, , , 6, , 1
2019/8/26, 7, , , 6, , 1
2019/8/27, 14, , , 9, , 2
2019/8/28, 27, , , 6, , 1
2019/8/29, 21, , , 4, , 1
2019/8/30, 18, , , 8, , 2
2019/8/31, 18, , , 9, , 3
2019/9/1, 30, , , 3, , 2
2019/9/2, 30, , , 4, , 2
2019/9/3, 17, , , 9, 1, 2
2019/9/4, 28, , , 8, , 2
2019/9/5, 29, , , 7, , 2
2019/9/6, 24, , , 9, , 2
2019/9/7, 33, , , 3, , 2
2019/9/8, 30, , , 4, , 2
2019/9/9, 29, , , 3, , 1
2019/9/10, 19, , , 3, , 1
2019/9/11, 7, , , 4, , 1
2019/9/12, 15, , , 9, , 1
2019/9/13, 22, , , 3, 2, 1
2019/9/14, 8, , , , , 
2019/9/20, 19, , , 8, , 2
2019/9/21, 12, , , 8, , 2
2019/9/22, 19, , , 9, , 1
2019/9/23, 16, , , 10, , 2
2019/9/24, 12, , , 9, 1, 2
2019/9/25, 12, , , 10, 2, 1
2019/9/26, 12, , , 8, , 1
2019/9/27, 14, , , 4, , 1
2019/9/28, 14, , , 2, , 
2019/9/29, 17, , , 3, , 1
2019/9/30, 6, , , 7, , 1
2019/10/1, 15, , , 22, , 2
2019/4/2, 17, , , 9, 1, 3
2019/4/3, 27, , , 14, 3, 3
2019/4/4, 37, , , 12, , 4
2019/4/5, 33, , , 6, , 3
2019/4/6, 36, , , 12, 1, 3
2019/4/7, 21, , , 11, , 3
2019/4/8, 5, , , 11, , 3
2019/4/9, 10, , , 14, , 4
2019/4/10, 24, , , 13, , 4
2019/4/11, 27, , , 9, , 4
2019/4/12, 26, , , 6, , 4
2019/4/13, 35, , , 13, , 4
2019/4/14, 12, , , 12, , 4
2019/4/15, 8, , , 15, 1, 4
2019/4/16, 14, , , 12, 2, 4
2019/4/17, 17, , , 15, 4, 4
2019/4/18, 28, , , 12, , 4
2019/4/19, 23, , , 7, , 4
2019/4/20, 11, , , 6, , 4
2019/4/21, 14, , , 9, , 4
2019/4/22, 24, , , 26, , 3
2019/4/23, 22, , , 4, 5, 1
2019/4/24, 22, , , 10, 1, 1
2019/4/25, 19, , , 10, , 1
2019/4/26, 27, , , 6, 1, 1
2019/4/27, 27, , , 3, , 1
2019/4/28, 18, , , 4, , 1
2019/4/29, 13, , , 9, 1, 1
2019/4/30, 21, , , 13, 1, 2
2019/5/1, 15, , , 8, , 2
2019/5/2, 17, , , 5, , 1
2019/5/3, 27, , , 8, , 
2019/5/4, 19, , , 3, , 
2019/5/5, 14, , , 4, , 
2019/5/6, 20, , , 9, 1, 
2019/5/7, 35, , , 10, 1, 
2019/5/8, 29, , , 11, , 
2019/5/9, 24, , , 10, 1, 
2019/5/10, 18, , , 6, 1, 
2019/5/11, 18, , , 11, , 1
2019/5/12, 32, , , 6, 1, 
2019/5/13, 31, , , 7, 1, 
2019/5/14, 33, , , 9, 1, 1
2019/5/15, 37, , , 4, 1, 
2019/5/16, 24, , , 5, , 1
2019/5/17, 21, , , 7, , 1
2019/5/18, 21, , , 3, , 1
2019/5/19, 12, , , 6, , 
2019/5/20, 22, , , 8, , 1
2019/5/21, 22, , , 11, , 1
2019/5/22, 22, , , 9, , 1
2019/5/23, 27, , , 14, , 2
2019/5/24, 34, , , 5, 1, 1
2019/5/25, 21, , , 4, , 1
2019/5/26, 38, , , 6, 1, 1
2019/5/27, 44, , , 13, , 2
2019/5/28, 41, , , 11, 1, 2
2019/5/29, 43, , , 13, 2, 3
2019/5/30, 72, , , 7, , 3
2019/5/31, 88, , , 12, 1, 12
2019/6/1, 244, , , 11, , 3
2019/6/2, 50, , , 10, , 3
2019/6/3, 44, , , 12, , 3
2019/6/4, 42, , , 5, , 2
2019/6/5, 21, , , 9, 2, 2
2019/6/6, 29, , , 5, , 2
2019/6/7, 17, , , 2, , 2
2019/6/8, 7, , , 6, , 2
2019/6/9, 13, , , 5, , 2
2019/6/10, 7, , , 6, , 2
2019/6/11, 14, , , 9, , 2
2019/6/12, 12, , , 9, 2, 2
2019/6/13, 23, , , 9, , 
2019/6/14, 28, , , 5, , 
2019/6/15, 23, , , 4, , 
2019/6/16, 15, , , 4, , 
2019/6/17, 17, , , 7, , 
2019/6/18, 28, , , 5, , 
2019/6/19, 14, , , 5, 1, 
2019/6/20, 10, , , 3, 1, 
2019/6/21, 7, , , 5, , 
2019/6/22, 26, , , 2, 1, 
2019/6/23, 34, , , 5, 1, 
2019/6/24, 20, , , 4, 1, 
2019/6/25, 10, , , 4, 1, 
2019/6/26, 10, , , 7, 1, 
2019/6/27, 21, , , 7, 1, 
2019/6/28, 27, , , 8, 1, 
2019/6/29, 8, , , 6, , 
2019/6/30, 10, , , 5, 1, 
2019/7/1, 18, , , 6, 1, 
2019/1/2, 20, , , 20, , 5
2019/1/3, 16, , , 29, 1, 5
2019/1/4, 32, , , 17, 1, 4
2019/1/5, 30, , , 18, , 2
2019/1/6, 60, , , 18, , 3
2019/1/7, 46, , , 16, , 3
2019/1/8, 44, , , 19, , 2
2019/1/9, 25, , , 17, , 3
2019/1/10, 26, , , 28, 1, 6
2019/1/11, 64, , , 40, , 10
2019/1/12, 69, , , 25, 1, 5
2019/1/13, 34, , , 22, 1, 4
2019/1/14, 26, , , 24, 1, 5
2019/1/15, 30, , , 20, , 4
2019/1/16, 49, , , 12, , 3
2019/1/17, 46, , , 6, , 2
2019/1/18, 19, , , 17, , 3
2019/1/19, 18, , , 19, , 4
2019/1/20, 40, , , 35, , 7
2019/1/21, 35, , , 28, 2, 5
2019/1/22, 27, , , 19, , 4
2019/1/23, 14, , , 15, , 3
2019/1/24, 21, , , 29, 1, 6
2019/1/25, 32, , , 25, , 5
2019/1/26, 26, , , 25, 1, 6
2019/1/27, 23, , , 6, , 3
2019/1/28, 6, , , 12, , 4
2019/1/29, 11, , , 29, , 6
2019/1/30, 45, , , 35, , 8
2019/1/31, 45, , , 32, , 8
2019/2/1, 44, , , 5, , 4
2019/2/2, 41, , , 3, , 4
2019/2/3, 27, , , 4, , 4
2019/2/4, 14, , , 8, 4, 4
2019/2/5, 21, , , 19, , 5
2019/2/6, 50, , , 28, , 7
2019/2/7, 70, , , 33, , 8
2019/2/8, 60, , , 15, , 6
2019/2/9, 39, , , 9, , 5
2019/2/10, 27, , , 11, , 5
2019/2/11, 40, , , 18, , 6
2019/2/12, 56, , , 27, , 8
2019/2/13, 64, , , 28, , 5
2019/2/14, 57, , , 32, , 2
2019/2/15, 68, , , 19, , 1
2019/2/16, 58, , , 9, , 1
2019/2/17, 43, , , 9, , 
2019/2/18, 35, , , 29, , 2
2019/2/19, 56, , , 27, 1, 2
2019/2/20, 28, , , 12, , 1
2019/2/21, 16, , , 23, , 2
2019/2/22, 26, , , 32, , 4
2019/2/23, 35, , , 6, , 1
2019/2/24, 16, , , 20, , 1
2019/2/25, 13, , , 39, , 4
2019/2/26, 69, , , 31, , 3
2019/2/27, 48, , , 30, 1, 3
2019/2/28, 38, , , 27, 1, 3
2019/3/1, 33, , , 8, , 1
2019/3/2, 30, , , 20, 1, 3
2019/3/3, 45, , , 22, 1, 3
2019/3/4, 35, , , 27, 1, 3
2019/3/5, 38, , , 28, 1, 4
2019/3/6, 35, , , 31, , 5
2019/3/7, 58, , , 20, , 3
2019/3/8, 64, , , 27, , 4
2019/3/9, 74, , , 23, , 3
2019/3/10, 37, , , 25, , 4
2019/3/11, 34, , , 29, , 2
2019/3/12, 23, , , 10, , 1
2019/3/13, 12, , , 15, , 1
2019/3/14, 24, , , 13, 1, 1
2019/3/15, 20, , , 13, , 1
2019/3/16, 20, , , 25, 1, 3
2019/3/17, 40, , , 21, , 3
2019/3/18, 44, , , 16, 1, 2
2019/3/19, 30, , , 28, 2, 3
2019/3/20, 45, , , 26, 1, 4
2019/3/21, 45, , , 21, 1, 3
2019/3/22, 52, , , 18, 1, 3
2019/3/23, 46, , , 15, 1, 4
2019/3/24, 92, , , 4, , 2
2019/3/25, 31, , , 6, , 2
2019/3/26, 28, , , 13, , 3
2019/3/27, 34, , , 6, , 3
2019/3/28, 19, , , 10, , 2
2019/3/29, 22, , , 14, , 3
2019/3/30, 36, , , 14, , 3
2019/3/31, 23, , , 4, , 3
2019/4/1, 17, , , 4, , 3
2018/10/2, 26, , , 6, 1, 3
2018/10/3, 19, , , 13, 1, 2
2018/10/4, 27, , , 17, 1, 1
2018/10/5, 43, , , 25, 1, 2
2018/10/6, 33, , , 21, 3, 4
2018/10/7, 42, , , 14, 2, 2
2018/10/8, 30, , , 10, 1, 2
2018/10/9, 21, , , 4, 1, 1
2018/10/10, 9, , , 8, , 2
2018/10/11, 24, , , 11, 1, 2
2018/10/12, 30, , , 12, 1, 3
2018/10/13, 13, , , 4, 1, 2
2018/10/14, 8, , , 15, 1, 3
2018/10/15, 7, , , 11, 3, 2
2018/10/16, 12, , , 22, 2, 4
2018/10/17, 31, , , 20, 1, 4
2018/10/18, 33, , , 18, 2, 4
2018/10/19, 36, , , 20, 2, 4
2018/10/20, 43, , , 18, 1, 5
2018/10/21, 41, , , 17, 1, 5
2018/10/22, 38, , , 22, 1, 6
2018/10/23, 52, , , 25, 3, 6
2018/10/24, 54, , , 18, 2, 4
2018/10/25, 35, , , 22, 1, 5
2018/10/26, 34, , , 18, 1, 5
2018/10/27, 19, , , 10, 1, 4
2018/10/28, 12, , , 15, 1, 4
2018/10/29, 16, , , 18, 1, 5
2018/10/30, 19, , , 18, 1, 5
2018/10/31, 17, , , 22, 1, 5
2018/11/1, 26, , , 4, 1, 4
2018/11/2, 15, , , 7, 1, 5
2018/11/3, 36, , , 17, 1, 6
2018/11/4, 27, , , 11, 1, 5
2018/11/5, 17, , , 6, 1, 5
2018/11/6, 29, , , 14, 1, 3
2018/11/7, 53, , , 15, 1, 2
2018/11/8, 26, , , 25, 2, 3
2018/11/9, 47, , , 20, 1, 3
2018/11/10, 31, , , 14, 1, 2
2018/11/11, 22, , , 10, 1, 2
2018/11/12, 29, , , 27, 1, 5
2018/11/13, 37, , , 22, 1, 3
2018/11/14, 22, , , 17, 1, 3
2018/11/15, 34, , , 29, 1, 6
2018/11/16, 35, , , 11, 1, 2
2018/11/17, 29, , , 30, 1, 6
2018/11/18, 45, , , 17, 1, 3
2018/11/19, 15, , , 27, 2, 5
2018/11/20, 41, , , 29, 1, 4
2018/11/21, 31, , , 37, 2, 9
2018/11/22, 58, , , 38, 1, 9
2018/11/23, 49, , , 20, , 5
2018/11/24, 51, , , 19, , 5
2018/11/25, 51, , , 33, , 7
2018/11/26, 30, , , 41, 1, 11
2018/11/27, 57, , , 33, 1, 7
2018/11/28, 29, , , 29, 2, 6
2018/11/29, 18, , , 37, , 8
2018/11/30, 37, , , 28, 1, 7
2018/12/1, 38, , , 12, 1, 5
2018/12/2, 48, , , 8, 1, 5
2018/12/3, 23, , , 25, 1, 7
2018/12/4, 22, , , 32, 1, 7
2018/12/5, 26, , , 14, , 5
2018/12/6, 14, , , 38, 1, 6
2018/12/7, 38, , , 33, 1, 3
2018/12/8, 31, , , 30, 2, 2
2018/12/9, 30, , , 35, 1, 4
2018/12/10, 39, , , 19, 1, 2
2018/12/11, 8, , , 53, 1, 9
2018/12/12, 59, , , 26, 1, 4
2018/12/13, 21, , , 28, 1, 4
2018/12/14, 23, , , 24, , 4
2018/12/15, 25, , , 18, 1, 4
2018/12/16, 19, , , 22, , 5
2018/12/17, 33, , , 33, 1, 6
2018/12/18, 30, , , 31, , 4
2018/12/19, 23, , , 28, , 4
2018/12/20, 18, , , 25, 1, 4
2018/12/21, 22, , , 9, 2, 3
2018/12/22, 8, , , 14, 1, 3
2018/12/23, 10, , , 24, , 4
2018/12/24, 26, , , 22, , 5
2018/12/25, 63, , , 19, , 5
2018/12/26, 52, , , 14, , 4
2018/12/27, 70, , , 17, , 4
2018/12/28, 44, , , 28, 1, 5
2018/12/29, 23, , , 27, 1, 6
2018/12/30, 27, , , 5, , 4
2018/12/31, 13, , , , , 
2018/8/19, 127, , , 9, 2, 8
2018/8/20, 140, , , 7, 1, 6
2018/8/21, 97, , , 14, 1, 4
2018/8/22, 74, , , 13, 2, 4
2018/8/23, 100, , , 17, 2, 9
2018/8/24, 179, , , 5, 2, 8
2018/8/25, 133, , , 6, 1, 8
2018/8/26, 117, , , 7, 1, 6
2018/8/27, 114, , , 3, 1, 2
2018/8/28, 19, , , 10, , 3
2018/8/29, 33, , , 13, 1, 3
2018/8/30, 57, , , 5, 1, 2
2018/8/31, 41, , , 5, 1, 2
2018/9/1, 28, , , 5, 1, 3
2018/9/2, 43, , , 7, 1, 2
2018/9/3, 43, , , 4, 1, 2
2018/9/4, 34, , , 5, 1, 2
2018/9/5, 20, , , 9, 1, 3
2018/9/6, 35, , , 10, 1, 3
2018/9/7, 40, , , 15, 1, 3
2018/9/8, 84, , , 10, 1, 2
2018/9/9, 45, , , 4, 1, 1
2018/9/10, 22, , , 6, 1, 1
2018/9/11, 23, , , 10, 1, 2
2018/9/12, 20, , , 3, 1, 1
2018/9/13, 10, , , 4, 1, 1
2018/9/14, 18, , , 5, 1, 1
2018/9/15, 35, , , 4, , 2
2018/9/16, 18, , , 4, 1, 2
2018/9/17, 13, , , 6, 1, 2
2018/9/18, 17, , , 7, 1, 2
2018/9/19, 38, , , 7, 1, 2
2018/9/20, 37, , , 8, 1, 3
2018/9/21, 40, , , 5, 1, 2
2018/9/22, 15, , , 2, 1, 2
2018/9/23, 5, , , 4, , 2
2018/9/24, 18, , , 8, 1, 3
2018/9/25, 12, , , 9, 1, 3
2018/9/26, 7, , , 11, 1, 3
2018/9/27, 16, , , 8, 1, 3
2018/9/28, 7, , , 11, 1, 3
2018/9/29, 24, , , 3, 1, 3
2018/9/30, 9, , , 2, 1, 3
2018/10/1, 17, , , 6, 1, 3
2017/4/2, 16, , , 25, , 6
2017/4/3, 34, , , 4, , 4
2017/4/4, 11, , , 9, , 5
2017/4/5, 11, , , 18, , 5
2017/4/6, 27, , , 14, , 4
2017/4/7, 17, , , 19, , 5
2017/4/8, 20, , , 7, , 4
2017/4/9, 18, , , 4, , 4
2017/4/10, 15, , , 7, , 4
2017/4/11, 12, , , 6, , 4
2017/4/12, 22, , , 9, , 5
2017/4/13, 31, , , 12, , 5
2017/4/14, 25, , , 3, , 4
2017/4/15, 8, , , 8, , 5
2017/4/16, 13, , , 3, , 5
2017/4/17, 14, , , 6, , 3
2017/4/18, 18, , , 8, , 1
2017/4/19, 20, , , 5, , 1
2017/4/20, 40, , , 16, , 2
2017/4/21, 26, , , 5, , 1
2017/4/22, 28, , , 8, , 1
2017/4/23, 35, , , 3, , 1
2017/4/24, 15, , , 3, , 1
2017/4/25, 16, , , 6, , 1
2017/4/26, 18, , , 6, , 1
2017/4/27, 26, , , 7, , 1
2017/4/28, 27, , , 7, , 1
2017/4/29, 22, , , 8, , 1
2017/4/30, 10, , , 8, , 1
2017/5/1, 12, , , 4, , 1
2017/5/2, 9, , , 5, , 1
2017/5/3, 14, , , 13, , 2
2017/5/4, 26, , , 8, , 1
2017/5/5, 18, , , 17, , 3
2017/5/6, 42, , , 10, , 2
2017/5/7, 22, , , 1, , 2
2017/5/8, 6, , , 7, , 2
2017/5/9, 13, , , 5, , 2
2017/5/10, 19, , , 13, , 2
2017/5/11, 33, , , 12, , 3
2017/5/12, 34, , , 11, , 3
2017/5/13, 28, , , 3, , 2
2017/5/14, 7, , , 4, , 2
2017/5/15, 5, , , 8, , 2
2017/5/16, 9, , , 8, , 2
2017/5/17, 11, , , , , 2
2017/5/18, 14, , , , , 
2017/1/3, 36, , , 26, , 6
2017/1/4, 29, , , 24, , 6
2017/1/5, 26, , , 28, , 6
2017/1/6, 21, , , 14, , 5
2017/1/7, 55, , , 10, , 6
2017/1/8, 54, , , 9, , 5
2017/1/9, 27, , , 14, , 6
2017/1/10, 41, , , 21, , 6
2017/1/11, 17, , , 31, , 7
2017/1/12, 25, , , 32, , 8
2017/1/13, 42, , , 41, , 9
2017/1/14, 33, , , 36, , 9
2017/1/15, 32, , , 21, , 6
2017/1/16, 13, , , 49, , 11
2017/1/17, 48, , , 31, , 8
2017/1/18, 24, , , 38, , 11
2017/1/19, 25, , , 30, , 7
2017/1/20, 19, , , 41, , 7
2017/1/21, 42, , , 23, , 3
2017/1/22, 24, , , 9, , 2
2017/1/23, 67, , 6, 60, , 3
2017/1/24, 67, , , 29, , 5
2017/1/25, 41, , , 31, , 4
2017/1/26, 29, , , 23, , 4
2017/1/27, 27, , , 22, , 3
2017/1/28, 24, , , 11, , 2
2017/1/29, 9, , , 17, , 2
2017/1/30, 9, , , 8, , 2
2017/1/31, 6, , , 7, , 2
2017/2/1, 7, , , 11, , 3
2017/2/2, 16, , , 19, , 3
2017/2/3, 24, , , 18, , 4
2017/2/4, 43, , , 9, , 3
2017/2/5, 24, , , 9, , 3
2017/2/6, 24, , , 13, , 2
2017/2/7, 18, , , 29, , 3
2017/2/8, 45, , , 31, , 3
2017/2/9, 75, , , 41, , 4
2017/2/10, 67, , , 37, , 6
2017/2/11, 53, , , 16, , 2
2017/2/12, 12, , , 14, , 1
2017/2/13, 8, , , 32, , 4
2017/2/14, 28, , , 40, , 7
2017/2/15, 41, , , 46, , 11
2017/2/16, 56, , , 20, , 3
2017/2/17, 16, , , 22, , 3
2017/2/18, 12, , , 15, , 4
2017/2/19, 25, , , 9, , 2
2017/2/20, 41, , , 19, , 4
2017/2/21, 54, , , 15, , 3
2017/2/22, 61, , , 12, , 3
2017/2/23, 30, , , 14, , 3
2017/2/24, 42, , , 15, , 3
2017/2/25, 38, , , 8, , 3
2017/2/26, 34, , , 4, , 3
2017/2/27, 7, , , 22, , 4
2017/2/28, 33, , , 19, , 4
2017/3/1, 25, , , 24, , 4
2017/3/2, 31, , , 30, , 5
2017/3/3, 37, , , 21, , 3
2017/3/4, 22, , , 10, , 1
2017/3/5, 27, , , 6, , 1
2017/3/6, 40, , , 15, , 2
2017/3/7, 34, , , 10, , 2
2017/3/8, 24, , , 8, , 1
2017/3/9, 18, , , 10, , 2
2017/3/10, 22, , , 7, , 2
2017/3/11, 15, , , 15, , 2
2017/3/12, 26, , , 8, , 2
2017/3/13, 28, , , 31, , 4
2017/3/14, 53, , , 27, , 5
2017/3/15, 24, , , 23, , 6
2017/3/16, 38, , , 10, , 2
2017/3/17, 17, , , 18, , 3
2017/3/18, 22, , , 11, , 2
2017/3/19, 7, , , 5, , 2
2017/3/20, 6, , , 15, , 3
2017/3/21, 23, , , 7, , 2
2017/3/22, 13, , , 16, , 3
2017/3/23, 16, , , 16, , 4
2017/3/24, 28, , , 17, , 4
2017/3/25, 35, , , 9, , 3
2017/3/26, 2, , , 9, , 3
2017/3/27, 4, , , 16, , 4
2017/3/28, 16, , , 17, , 4
2017/3/29, 14, , , 19, , 4
2017/3/30, 24, , , 15, , 5
2017/3/31, 32, , , 11, , 4
2017/4/1, 29, , , 17, , 4
2016/10/2, 21, , , 10, , 1
2016/10/3, 9, , , 13, , 1
